"dummy"
"Text_01","しかし、参るな。
マギスの連中だけはどうにも理解出来ない。
"
"Text_65","……無暁は言葉が通じるような相手ではありません。
出逢えば最後、戦闘は必至。
だから、今のままでは力をお貸し出来ないのです。"
"Text_66","……そうなんですか。
だったら、私……。
"
"Text_67","ですが！
一つだけ、方法があります。
"
"Text_68","全てのギルドには、防衛権が認められています。
ギルドに被害が及んだ際には、
被害を齎した者に干渉していいということです。"
"Text_69","この防衛権を用いれば――
小規模な戦闘行為……具体的に言えば、
命の奪い合いでなければ、協力出来ます。"
"Text_70","えっと……。
つまり、その……？
"
"Text_71","……回りくどかったですね。
ごめんなさい。
では、単刀直入に申し上げますね。"
"Text_72","――アリサさん。

"
"Text_73","は、はいっ！

"
"Text_74","――ブレイドライツ騎士団の一員に
なってみる気は、ございませんか？
"
"Text_75","……えっ。
え、ええぇぇぇっ！？
"
