"dummy"
"Text_01","絡繰りを明かしてしまっては
それこそ興醒めというものか！
"
"Text_44","……おかげで本棚が二つほど駄目になった。
魔本が五冊ほど折れ曲がり……そのうちの一冊など、
表紙が破れてしまっていた。あまつさえ――。"
"Text_45","――ま、まぁ。
過ぎてしまったことは仕方ないわよ。
ね？それより実験でもしましょう？"
"Text_46","ふむ。
正しい判断だな。そして私もそのつもりだ。
だがイザベル、先に言っておくが――。"
"Text_47","汚すなよ、でしょ。

"
"Text_48","その通りだ。
だが、信用はしていないぞ。
"
"Text_49","はいはい。
で、どんな実験にする？
"
"Text_50","お前が求む、死者の復活。
私としても興味深いテーマだ。
そこに向かうようなものにしよう。"
"Text_51","……いいの？
あなたに得がなさそうだけど。
"
"Text_52","いや、得しかないさ。
お前の言葉と行動は、私にとって未知。
故に全て私の知識となる。"
"Text_53","では――
準備はいいか。
実験開始だ。"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
